,q,w,e,r,t,a,s,d,f,g,z,x,c,v,b,y,u,i,o,p,@,[,h,j,k,l,;,:,],n,m,",",.,/,\
q,0.15143279999999998,0.1276391,0.1163986,0.1114417,0.10667830000000003,0.1885331,0.1482775,0.1406755,0.11898299999999999,0.1107075,0.2468373,0.20475720000000008,0.20034960000000002,0.14592,0.1514711,0.1255889,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
w,0.1404575,0.13561030000000002,0.1016319,0.1024163,0.1044535,0.13137939999999998,0.1809505,0.1100021,0.1003719,0.11457060000000001,0.2389069,0.2221705,0.10407639999999999,0.1076382,0.1547542,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
e,0.136132,0.10952850000000001,0.1337337,0.0906485,0.0945608,0.116646,0.13040780000000002,0.16638139999999998,0.10757160000000003,0.101337,0.1223204,0.167747,0.21878380000000008,0.1020168,0.1175518,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
r,0.1233519,0.1055493,0.0949754,0.1569323,0.1917892,0.1129177,0.1519488,0.14758039999999994,0.1557894,0.2144558,0.142703,0.2094264,0.2351718,0.20943320000000004,0.22410820000000006,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
t,0.1212504,0.1040519,0.1010748,0.1908778,0.16319460000000002,0.0992465,0.15473470000000006,0.15588929999999998,0.1805088,0.1779093,0.1358047,0.1312229,0.1845263,0.20855279999999998,0.2111318,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
a,0.1938845,0.1382884,0.1143933,0.1053325,0.0939685,0.1348624,0.1320479,0.14335889999999998,0.0910792,0.1050807,0.19627170000000002,0.1591104,0.13844479999999998,0.0994385,0.1113965,0.1016858,0.0978765,0.099498,0.1037234,9.0,0.1447963,9.0,0.099427,0.09260560000000001,0.0879645,0.09016139999999999,9.0,9.0,9.0,0.09211269999999999,0.0969441,9.0,9.0,9.0,9.0
s,0.1421945,0.180931,0.119834,0.1477088,0.1513654,0.1355285,0.1388372,0.1272258,0.0920468,0.15281419999999998,0.1558527,0.1682285,0.1283496,0.10227639999999999,0.1012538,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.09498789999999999,0.09260349999999999,0.0796944,0.09956010000000001,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
d,0.141914,0.1103251,0.1661999,0.13598190000000002,0.1412771,0.1500001,0.14613610000000002,0.14526670000000005,0.08665089999999999,0.1043454,0.122201,0.13932550000000002,0.183541,0.1017139,0.11730530000000006,9.0,0.09178889999999999,9.0,0.089013,9.0,9.0,9.0,0.0930784,0.0939936,0.088791,0.0859479,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
f,0.1169708,0.0992545,0.1113651,0.1550977,0.1844856,0.0939978,0.0936299,0.0911373,0.14076870000000002,0.17957,0.13072550000000002,0.1256274,0.12659959999999998,0.1682557,0.2008772,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0895118,0.0880582,0.08933060000000001,0.0863638,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
g,0.11420090000000001,0.1208661,0.101948,0.2128464,0.1769516,0.113232,0.17174289999999998,0.11614260000000001,0.1758119,0.15622450000000002,0.13830820000000002,0.1216309,0.1112185,0.167472,0.17843270000000006,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.10241189999999999,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
z,0.2446429,0.2409384,0.1142469,0.12989889999999998,0.1219576,0.1954,0.1498694,0.11364389999999998,0.1266672,0.126458,0.156182,0.1616549,0.12222160000000001,0.11676669999999999,0.1163627,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
x,0.2072135,0.22116439999999998,0.15290209999999999,0.2072722,0.124529,0.1514225,0.1870366,0.12985339999999998,0.1194048,0.11828119999999999,0.184145,0.1553619,0.12498219999999999,0.1127689,0.1114055,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
c,0.1997435,0.10465350000000001,0.2201396,0.23307579999999997,0.16008499999999998,0.1391351,0.1353064,0.1841412,0.11286030000000001,0.1068346,0.13404129999999995,0.1389396,0.1589366,0.1160471,0.116247,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
v,0.15376420000000002,0.1102649,0.1015535,0.2071462,0.2099706,0.10697269999999999,0.1030144,0.1089184,0.16935519999999998,0.1690596,0.1201136,0.12169,0.12767830000000002,0.1530987,0.119742,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
b,0.1665762,0.1706177,0.1192194,0.2255759,0.2121645,0.12052260000000001,0.1091981,0.12801089999999998,0.2015309,0.17785399999999998,0.1295935,0.1207737,0.12583119999999998,0.13147679999999998,0.029199799999999998,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
y,0.13859820000000006,9.0,9.0,9.0,9.0,0.0935378,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.1320933,0.1918923,0.1272163,0.1358081,0.1351292,0.17675539999999998,0.1870479,0.1809483,0.2072733,0.12604649999999998,0.152976,0.198413,0.14397549999999998,0.17463829999999994,0.22315149999999997,0.23388089999999997,0.2294959,0.2271922,0.22236850000000002,0.2095672
u,9.0,9.0,9.0,9.0,9.0,0.0936307,9.0,0.0864689,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.19068110000000002,0.1388412,0.0935645,0.1099281,0.1709734,0.15916870000000002,0.1367421,0.1889949,0.1510654,0.1172228,0.11702449999999999,0.1648253,0.1304259,0.1287923,0.2200064,0.21877670000000002,0.2495651,0.2647122,0.2152028,0.1871753
i,9.0,9.0,9.0,9.0,9.0,0.08903330000000001,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.11957249999999996,0.08419560000000001,0.13219479999999995,0.1143232,0.18013389999999999,0.17918499999999998,0.1351389,0.1249576,0.0821214,0.1701199,0.1237846,0.1736222,0.1351837,0.1383856,0.1206133,0.1315289,0.18964620000000001,0.1711687,0.2087808,0.1888784
o,9.0,9.0,9.0,9.0,9.0,0.0954224,9.0,0.08649409999999999,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.1246296,0.0981657,0.102275,0.1335845,0.1818076,0.2415918,0.1799789,0.1046444,0.0822388,0.1248316,0.1707422,0.16638029999999998,0.1432418,0.1807997,0.1080545,0.102065,0.19409749999999998,0.195075,0.1848013,0.256729
p,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.124128,0.1557424,0.1746912,0.17428539999999998,0.15547,0.2303222000000001,0.24634870000000006,0.1305943,0.1681991,0.1841414,0.1789124,0.223192,0.25521910000000003,0.2975298,0.1105861,0.119843,0.2199424,0.2791712,0.2200707,0.2679894
@,9.0,9.0,9.0,9.0,9.0,0.1352071,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.17522839999999998,0.1607616,0.1831898,0.2456404,0.2312077,0.2296447,0.23921960000000003,0.14003859999999999,0.1904018,0.2271939,0.23839610000000003,0.2272194,0.2183684,0.2239954,0.1072066,0.1760383,0.22803270000000003,0.2624403,0.2463325,0.26636950000000004
[,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.1792521,0.1336358,0.13272299999999998,0.1807784,0.2512359,0.24235790000000001,0.1743617,0.16086879999999998,0.16315770000000002,0.19120399999999999,0.2023965,0.2759406,0.2775495,0.30161380000000004,0.1711877,0.1826131,0.18000480000000002,0.27281089999999997,0.31675909999999996,0.2863916
h,9.0,9.0,9.0,9.0,9.0,0.09241,0.0917715,0.0877108,0.0910016,9.0,9.0,9.0,9.0,9.0,9.0,0.1814787,0.1897368,0.12603119999999998,0.110491,0.1307986,0.14391959999999998,0.1688032,0.13685350000000002,0.1700622,0.1110934,0.0925811,0.1136438,0.12238199999999999,0.1374925,0.1616003,0.19837359999999998,0.2271465,0.154333,0.1792373,0.134399
j,9.0,9.0,9.0,9.0,9.0,0.08470060000000001,0.087685,0.0894365,0.0878196,9.0,9.0,9.0,9.0,9.0,9.0,0.20814560000000001,0.1517957,0.0853773,0.08299480000000001,0.1666832,0.1871887,0.159474,0.169354,0.16462559999999998,0.08247739999999999,0.08543099999999999,0.10883590000000001,0.14482699999999998,0.1367338,0.1527604,0.1872294,0.2256679,0.18638280000000002,0.15359130000000001,0.14483200000000002
k,9.0,9.0,9.0,9.0,9.0,0.08151359999999999,0.0726872,0.08393400000000001,0.08866500000000001,0.09951789999999999,9.0,9.0,9.0,9.0,9.0,0.11047190000000001,0.1048387,0.1709776,0.12551500000000002,0.178402,0.21765629999999997,0.1848231,0.0991201,0.0805049,0.147355,0.0989208,0.1263716,0.21516,0.1255694,0.099148,0.1431637,0.16561019999999999,0.2504073,0.17679119999999998,0.1552001
l,9.0,9.0,9.0,9.0,9.0,0.0865123,0.0916206,0.08462309999999999,0.0901704,9.0,9.0,9.0,9.0,9.0,9.0,0.1386058,0.1033527,0.11140630000000001,0.1717786,0.1806274,0.2383836,0.2063682,0.0865677,0.07950270000000001,0.094095,0.1463506,0.14957009999999998,0.227144,0.1496239,0.09357839999999999,0.1336147,0.2087068,0.1695249,0.198383,0.1776516
;,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.1959905,0.1487946,0.1655769,0.1463221,0.2232302,0.22963079999999997,0.2752085,0.10319910000000002,0.1048855,0.11758740000000001,0.1359971,0.0295328,0.21122359999999998,0.22956629999999997,0.0991485,0.1239983,0.1325651,0.2351507,0.1759582,0.2135455
:,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.14321699999999998,0.1247847,0.1246929,0.1391988,0.2528251,0.2207793,0.27681429999999996,0.11200000000000004,0.14316120000000002,0.2311745,0.2296205,0.2151974,0.1984611,0.23831560000000002,0.09841130000000001,0.1255556,0.14155279999999998,0.2648116,0.2704109,0.1751904
],9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.1775585,0.12458549999999999,0.12315100000000001,0.18313680000000002,0.2992775,0.2240573,0.3000384,0.1353082,0.1327876,0.1208383,0.1384482,0.228017,0.24112429999999999,0.17199899999999999,0.1143859,0.12321560000000001,0.1551901,0.27366229999999997,0.24479959999999998,0.20957979999999998
n,9.0,9.0,9.0,9.0,9.0,0.09264789999999999,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.2263436,0.22375170000000005,0.12513139999999998,0.10885530000000004,0.1161181,0.10720840000000001,0.173625,0.1615955,0.15511950000000002,0.10797190000000001,0.10238529999999998,0.10401590000000001,0.099994,0.1143357,0.1671872,0.1615211,0.1694952,0.14148339999999998,0.1706625,0.1800264
m,9.0,9.0,9.0,9.0,9.0,0.0923073,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.2372034,0.2213411,0.1357887,0.1109567,0.1277846,0.1720097,0.1831984,0.1992297,0.18804369999999998,0.1456033,0.1352413,0.1256019,0.12476210000000001,0.1198579,0.1591749,0.15841080000000002,0.1487625,0.2166519,0.163879,0.1736183
",",9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.2319553,0.2255916,0.1911547,0.1903969,0.2167979,0.228705,0.1856016,0.22640380000000002,0.21756250000000002,0.1672183,0.2135694,0.1367288,0.14804440000000002,0.14798899999999998,0.14716100000000001,0.14082,0.1615714,0.23043300000000003,0.163234,0.1576248
.,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.2327995,0.2687528,0.149644,0.1975848,0.2896159,0.2665299,0.27522060000000004,0.1551969,0.175868,0.2503142,0.1696843,0.2368168,0.26879379999999997,0.27270910000000004,0.1352452,0.2207638,0.2247575,0.1632102,0.1424456,0.22882280000000002
/,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.22397260000000002,0.21519210000000003,0.2072637,0.1632225,0.2215953,0.2480293,0.31357179999999996,0.166381,0.1457408,0.1671535,0.16878169999999998,0.17999289999999998,0.2726879,0.24083230000000003,0.1751399,0.1640681,0.1655492,0.1295944,0.16079090000000001,0.1879836
\,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.21119880000000002,0.1848361,0.1784089,0.2663961,0.268026,0.26958479999999996,0.2864905,0.1232557,0.1327636,0.13199840000000002,0.1640866,0.2161126,0.1752315,0.21033240000000003,0.1816184,0.1776646,0.1576169,0.22963909999999998,0.1878883,0.1670629
