in_0	in_1	out
a	l	‚ 
a	;	‚¢
a	k	‚¤
a	h	‚¦
a	j	‚¨
d	l	‚©
d	;	‚«
d	k	‚­
d	h	‚¯
d	j	‚±
f	l	‚³
f	;	‚µ
f	k	‚·
f	h	‚¹
f	j	‚»
s	l	‚½
s	;	‚¿
s	k	‚Â
s	h	‚Ä
s	j	‚Æ
g	l	‚Í
g	;	‚Ğ
g	k	‚Ó
g	h	‚Ö
g	j	‚Ù
e	l	‚È
e	;	‚É
e	k	‚Ê
e	h	‚Ë
e	j	‚Ì
r	l	‚Ü
r	;	‚İ
r	k	‚Ş
r	h	‚ß
r	j	‚à
a	o	‚â
a	i	‚ä
a	u	‚æ
w	l	‚ç
w	;	‚è
w	k	‚é
w	h	‚ê
w	j	‚ë
c	l	‚ª
c	;	‚¬
c	k	‚®
c	h	‚°
c	j	‚²
v	l	‚´
v	;	‚¶
v	k	‚¸
v	h	‚º
v	j	‚¼
x	l	‚¾
x	;	‚À
x	k	‚Ã
x	h	‚Å
x	j	‚Ç
b	l	‚Î
b	;	‚Ñ
b	k	‚Ô
b	h	‚×
b	j	‚Ú
t	l	‚Ï
t	;	‚Ò
t	k	‚Õ
t	h	‚Ø
t	j	‚Û
z	l	‚í
z	j	‚ğ
z	k	‚Á
z	h	‚ñ
z	;	[
q	l	‚Ÿ
q	;	‚¡
q	k	‚£
q	h	‚¥
q	j	‚§
q	o	ƒ”‚Ÿ
q	i	ƒ”
q	u	ƒ”‚§
b	o	‚Ñ‚á
b	i	‚Ñ‚ã
b	u	‚Ñ‚å
x	o	‚À‚á
x	i	‚À‚ã
x	u	‚À‚å
v	o	‚¶‚á
v	i	‚¶‚ã
v	u	‚¶‚å
v	y	‚¶‚¥
c	o	‚¬‚á
c	i	‚¬‚ã
c	u	‚¬‚å
g	o	‚Ğ‚á
g	i	‚Ğ‚ã
g	u	‚Ğ‚å
s	o	‚¿‚á
s	i	‚¿‚ã
s	u	‚¿‚å
s	y	‚¿‚¥
s	p	‚¿‚¡
f	o	‚µ‚á
f	i	‚µ‚ã
f	u	‚µ‚å
f	y	‚µ‚¥
d	o	‚«‚á
d	i	‚«‚ã
d	u	‚«‚å
t	o	‚Ò‚á
t	i	‚Ò‚ã
t	u	‚Ò‚å
e	o	‚É‚á
e	i	‚É‚ã
e	u	‚É‚å
r	o	‚İ‚á
r	i	‚İ‚ã
r	u	‚İ‚å
w	o	‚è‚á
w	i	‚è‚ã
w	u	‚è‚å
z	o	‚Ó‚Ÿ
z	p	‚Ó‚¡
z	y	‚Ó‚¥
z	u	‚Ó‚§
a	m	‚¦
d	m	‚¯
f	m	‚¹
s	m	‚Ä
g	m	‚Ö
e	m	‚Ë
r	m	‚ß
w	m	‚ê
c	m	‚°
v	m	‚º
x	m	‚Å
b	m	‚×
t	m	‚Ø
z	m	‚ñ
q	m	‚¥
a	n	‚¦
d	n	‚¯
f	n	‚¹
s	n	‚Ä
g	n	‚Ö
e	n	‚Ë
r	n	‚ß
w	n	‚ê
c	n	‚°
v	n	‚º
x	n	‚Å
b	n	‚×
t	n	‚Ø
z	n	‚ñ
q	n	ƒ”‚¥
g	y	‚Ó‚¥
q	y	ƒ”‚¥
